Sex,NumVics,Age1stKill,AgeLastKill,Age Group,# Male,# Female,Race of Victim,# White,# Black,# Hisp,#Asian,AgeKill,AgeSeries,,,,,,,
1,6,18,42,10,2,4,1,5,0,0,0,18,41,,,,,,,
1,4,32,40,30,2,2,1,4,0,0,0,32,32,,,,,,,
1,3,35,61,30,0,3,1,3,0,0,0,35,35,,,,,,,
1,2,42,53,40,0,2,2,0,2,0,0,42,42,,,,,,,
1,21,29,29,20,21,0,4,0,0,0,21,29,29,,,,,,,
1,17,46,46,40,8,9,1,17,0,0,0,46,46,,,,,,,
2,3,50,51,40,2,1,1,3,0,0,0,50,50,,,,,,,
1,3,19,37,10,2,1,7,1,2,0,0,19,19,,,,,,,
1,5,30,30,30,5,0,7,0,1,4,0,30,30,,,,,,,
1,26,,,,,,1,26,0,0,0,,,,,,,,,
1,6,32,48,30,,,7,,,,,32,32,,,,,,,
1,27,26,47,30,9,9,7,17,1,0,0,26,26,,,,,,,
1,2,18,36,10,2,0,7,1,0,1,0,18,18,,,,,,,
1,2,31,31,30,2,0,7,0,1,1,0,31,31,,,,,,,
2,4,35,35,30,0,4,1,4,0,0,0,35,35,,,,,,,
1,4,35,35,30,0,4,1,4,0,0,0,35,35,,,,,,,
1,7,34,34,30,5,2,1,6,0,0,0,34,34,,,,,,,
1,5,38,38,30,0,5,1,5,0,0,0,38,38,,,,,,,
2,4,21,44,20,3,1,7,3,0,0,1,21,21,,,,,,,
1,5,27,30,20,5,0,1,5,0,0,0,27,27,,,,,,,
1,18,44,44,40,1,,,1,,,,44,44,,,,,,,
1,3,33,33,30,2,1,1,3,0,0,0,33,33,,,,,,,
1,6,47,56,40,6,0,1,6,0,0,0,47,47,,,,,,,
1,5,38,39,30,0,5,1,5,0,0,0,38,38,,,,,,,
2,7,,,,7,0,1,7,0,0,0, , ,,,,,,,
1,2,27,27,20,0,2,1,2,0,0,0,27,27,,,,,,,
1,4,17,27,10,3,1,1,4,0,0,0,17,17,,,,,,,
1,3,31,32,30,0,3,1,3,0,0,0,31,31,,,,,,,
1,6,20,54,20,4,2,1,6,0,0,0,20,20,,,,,,,
1,2,18,32,10,2,0,1,2,0,0,0,18,18,,,,,,,
1,5,31,38,30,0,5,1,5,0,0,0,31,31,,,,,,,
1,2,25,42,40,1,1,2,0,2,0,0,25,25,,,,,,,
1,3,21,21,20,3,0,2,0,3,0,0,21,21,,,,,,,
1,4,18,18,10,3,1,2,0,4,0,0,18,18,,,,,,,
1,2,21,21,20,2,0,7,0,1,0,1,21,21,,,,,,,
1,6,21,27,20,5,1,1,0,6,0,0,21,21,,,,,,,
1,7,30,46,30,7,0,1,7,0,0,0,30,30,,,,,,,
2,2,33,34,30,1,1,2,0,2,0,0,33,33,,,,,,,
1,9,20,43,20,0,9,2,0,9,0,0,20,43,,,,,,,
1,3,21,39,20,1,2,1,3,0,0,0,21,21,,,,,,,
1,2,22,22,20,2,0,7,0,1,0,1,22,22,,,,,,,
2,3,18,18,10,3,0,2,0,3,0,0,18,18,,,,,,,
2,12,,,,,,,,,,, , ,,,,,,,
1,3,49,50,40,0,3,7,2,0,0,1,49,49,,,,,,,
1,6,34,34,30,2,4,1,6,0,0,0,34,34,,,,,,,
1,5,60,65,60,4,1,1,5,0,0,0,60,60,,,,,,,
1,3,36,36,30,0,3,1,3,0,0,0,36,36,,,,,,,
1,3,27,27,20,2,1,1,3,0,0,0,27,27,,,,,,,
1,6,35,39,30,4,2,7,3,0,1,2,35,35,,,,,,,
1,2,26,27,20,2,0,2,0,2,0,0,26,26,,,,,,,
1,4,19,32,10,3,1,1,4,0,0,0,19,19,,,,,,,
1,2,32,32,30,0,2,1,2,0,0,0,32,32,,,,,,,
1,2,35,39,30,0,2,1,2,0,0,0,35,35,,,,,,,
1,3,56,56,50,0,3,1,3,0,0,0,56,56,,,,,,,
1,4,21,23,20,0,4,1,4,0,0,0,21,21,,,,,,,
2,3,41,48,40,3,0,1,3,0,0,0,41,41,,,,,,,
1,2,49,50,40,0,2,2,0,2,0,0,49,49,,,,,,,
1,2,21,21,20,2,0,1,2,0,0,0,21,21,,,,,,,
1,4,49,59,40,,,1,4,0,0,0,49,49,,,,,,,
1,4,23,23,20,4,0,1,4,0,0,0,23,23,,,,,,,
1,2,18,18,10,2,0,1,2,0,0,0,18,18,,,,,,,
1,10,22,29,20,9,1,1,10,0,0,0,22,22,,,,,,,
1,4,23,25,20,4,0,3,0,0,4,0,25,25,,,,,,,
1,30,42,48,40,13,4,1,17,0,0,0,42,42,,,,,,,
1,3,24,32,20,3,0,7,1,1,1,0,24,24,,,,,,,
1,2,16,21,10,2,0,2,0,2,0,0,16,16,,,,,,,
2,3,27,27,20,0,3,1,3,0,0,0,27,27,,,,,,,
1,4,24,25,20,0,4,1,3,0,0,0,24,24,,,,,,,
1,4,22,30,20,0,4,1,4,0,0,0,22,22,,,,,,,
1,2,16,19,10,0,2,1,2,0,0,0,16,16,,,,,,,
1,3,19,38,10,1,2,7,1,1,0,1,19,37,,,,,,,
2,3,43,44,40,,,1,3,0,0,0,43,43,,,,,,,
1,2,25,25,20,2,0,4,0,0,0,2,25,25,,,,,,,
1,4,19,31,30,2,2,1,4,0,0,0,19,31,,,,,,,
1,2,31,31,30,1,1,1,2,0,0,0,31,31,,,,,,,
1,21,32,33,30,23,0,1,22,0,0,0,32,32,,,,,,,
2,4,17,18,10,2,2,1,4,0,0,0,17,17,,,,,,,
1,4,31,31,30,0,4,1,4,0,0,0,31,31,,,,,,,
1,2,19,25,10,2,0,2,0,2,0,0,19,19,,,,,,,
1,3,22,36,20,1,2,7,1,2,0,0,22,22,,,,,,,
1,5,24,27,20,3,2,1,5,0,0,0,24,24,,,,,,,
1,9,30,36,30,0,9,1,9,0,0,0, , ,,,,,,,
1,3,44,44,40,0,3,1,3,0,0,0,44,44,,,,,,,
1,33,15,40,10,33,0,4,0,0,0,33,15,15,,,,,,,
1,3,57,57,50,0,3,1,3,0,0,0,57,57,,,,,,,
1,7,13,19,10,,,1,7,0,0,0, , ,,,,,,,
1,2,15,15,10,2,0,3,0,0,2,0,15,15,,,,,,,
1,2,17,19,10,0,2,1,2,0,0,0,17,17,,,,,,,
1,3,27,37,20,1,2,1,3,0,0,0,27,27,,,,,,,
1,2,24,59,20,0,2,,1,,,,24,24,,,,,,,
1,2,45,50,40,0,0,,,,,,45,45,,,,,,,
1,3,40,40,40,0,3,3,0,0,3,0,40,40,,,,,,,
1,3,30,37,30,3,0,7,2,0,1,0,30,30,,,,,,,
1,4,27,28,20,2,2,1,4,0,0,0,27,27,,,,,,,
2,4,17,68,10,4,0,1,4,0,0,0,17,17,,,,,,,
2,5,20,30,20,,,1,5,0,0,0, , ,,,,,,,
2,7,,,,,,1,7,0,0,0, , ,,,,,,,
1,3,27,48,20,2,1,,1,,,,27,27,,,,,,,
1,3,25,27,20,3,0,1,3,0,0,0,25,25,,,,,,,
1,4,31,45,30,1,3,1,4,0,0,0,31,31,,,,,,,
1,2,32,39,30,1,,,1,,,,32,32,,,,,,,
1,6,32,32,30,6,0,1,6,0,0,0,32,32,,,,,,,
1,2,20,20,20,2,0,1,2,0,0,0,20,20,,,,,,,
1,2,30,39,30,0,2,1,2,0,0,0,30,30,,,,,,,
1,3,25,26,20,0,3,1,3,0,0,0,25,25,,,,,,,
1,2,54,63,50,1,1,1,2,0,0,0,54,54,,,,,,,
2,2,40,40,40,0,2,2,0,2,0,0,40,40,,,,,,,
1,3,26,27,20,0,3,7,1,2,0,0,26,26,,,,,,,
1,3,34,39,30,1,2,7,1,2,0,0,34,39,,,,,,,
1,2,23,26,20,2,0,7,1,1,0,0,23,23,,,,,,,
1,4,27,28,20,1,3,1,4,0,0,0,27,27,,,,,,,
1,4,43,48,40,0,4,1,4,0,0,0,43,43,,,,,,,
1,4,44,44,40,0,4,1,3,0,0,0,44,44,,,,,,,
2,2,18,19,10,1,1,1,2,0,0,0,18,18,,,,,,,
1,2,41,42,40,0,2,1,2,0,0,0,41,41,,,,,,,
1,6,28,28,20,,,1,6,0,0,0,28,28,,,,,,,
1,4,37,41,30,0,4,1,4,0,0,0,37,37,,,,,,,
1,2,17,35,10,1,1,2,0,2,0,0,17,17,,,,,,,
1,5,39,39,30,4,1,7,2,3,0,0,39,39,,,,,,,
1,2,31,45,30,2,0,2,0,2,0,0,31,31,,,,,,,
1,3,32,38,30,0,3,1,3,0,0,0,32,32,,,,,,,
1,3,25,51,20,0,3,7,2,1,0,0,25,25,,,,,,,
1,2,36,57,30,2,0,7,1,1,0,0,36,36,,,,,,,
1,3,39,70,30,1,1,2,0,2,0,0,39,39,,,,,,,
1,4,25,26,20,4,0,1,4,0,0,0,25,25,,,,,,,
1,5,25,27,20,2,3,1,5,0,0,0,25,25,,,,,,,
1,2,27,28,20,1,1,7,1,0,1,0,27,27,,,,,,,
1,5,25,33,20,0,5,,,,,,25,25,,,,,,,
1,7,32,47,30,0,7,1,7,0,0,0,13,32,,,,,,,
1,3,29,30,,2,1,1,3,0,0,0,,,,,,,,,
1,3,31,39,30,1,1,1,2,0,0,0,31,31,,,,,,,
1,4,38,39,30,0,4,,2,,0,0,38,38,,,,,,,
1,3,32,40,30,0,3,1,3,0,0,0,32,32,,,,,,,
1,30,21,24,20,0,30,1,30,0,0,0,21,21,,,,,,,
1,5,28,28,20,1,4,1,5,0,0,0,28,28,,,,,,,
1,3,18,18,10,2,1,1,3,0,0,0,18,18,,,,,,,
1,3,19,23,10,3,0,2,0,3,0,0,19,19,,,,,,,
1,3,27,35,20,0,3,1,3,0,0,0,27,27,,,,,,,
1,8,35,48,30,0,8,7,5,1,,,35,35,,,,,,,
1,2,27,31,20,1,1,1,2,0,0,0,27,27,,,,,,,
1,4,32,32,30,2,2,1,3,,,0,32,32,,,,,,,
1,3,19,41,10,2,1,1,3,0,0,0,19,19,,,,,,,
1,2,30,30,30,2,0,,,,,,,,,,,,,,
1,2,22,23,20,1,1,1,2,0,0,0,22,22,,,,,,,
1,4,20,22,20,4,0,2,0,4,0,0,20,20,,,,,,,
1,2,48,65,40,1,1,1,2,0,0,0,48,48,,,,,,,
1,6,22,38,20,5,0,1,6,0,0,0,22,22,,,,,,,
2,3,30,41,30,2,1,1,3,0,0,0,30,30,,,,,,,
1,2,,26,,2,0,2,0,3,0,0, , ,,,,,,,
1,2,28,28,20,0,2,7,1,1,0,0,28,28,,,,,,,
1,12,30,39,30,12,0,1,12,0,0,0,30,30,,,,,,,
1,8,37,38,30,0,8,2,0,8,0,0,37,37,,,,,,,
1,10,21,21,20,6,4,7,7,3,0,0,21,21,,,,,,,
1,10,22,23,20,6,4,7,7,3,0,0,22,22,,,,,,,
1,11,16,25,10,6,5,7,7,4,0,0,16,24,,,,,,,
1,6,17,40,10,6,0,1,6,0,0,0,17,17,,,,,,,
1,4,23,24,20,0,4,7,2,2,0,0,23,23,,,,,,,
1,5,45,45,40,1,4,1,5,0,0,0,45,45,,,,,,,
2,3,35,40,30,3,0,1,3,0,0,0,35,35,,,,,,,
1,4,17,22,10,2,2,1,4,0,0,0,17,17,,,,,,,
1,7,19,25,10,5,2,2,0,7,0,0,19,19,,,,,,,
1,2,34,34,30,0,2,7,1,0,0,0,34,34,,,,,,,
2,128,42,46,40,,,,,,,,42,42,,,,,,,
2,3,39,39,30,1,2,1,3,0,0,0,39,39,,,,,,,
1,10,37,38,30,0,10,7,1,9,0,0,37,37,,,,,,,
1,2,22,22,20,2,0,7,0,1,1,0,22,22,,,,,,,
1,3,25,25,20,,,,,,,,25,25,,,,,,,
1,3,16,35,10,2,1,2,,2,,,16,16,,,,,,,
1,2,32,32,30,2,0,1,2,0,0,0,32,32,,,,,,,
1,3,23,23,20,3,0,1,3,0,0,0,23,23,,,,,,,
1,4,24,24,20,2,2,2,0,4,0,0,24,24,,,,,,,
1,2,20,20,20,2,0,1,2,0,0,0,20,20,,,,,,,
1,3,19,19,10,2,1,2,0,3,0,0,19,19,,,,,,,
1,2,27,27,20,2,0,7,1,1,0,0,27,27,,,,,,,
1,24,15,18,10,27,0,1,27,0,0,0,15,15,,,,,,,
1,4,17,17,10,3,1,2,0,4,0,0,17,17,,,,,,,
1,19,17,19,10,1,,,1,,,,17,17,,,,,,,
1,9,20,20,20,8,1,2,,7,0,0,20,20,,,,,,,
1,2,29,38,20,1,1,2,0,2,0,0,29,29,,,,,,,
1,2,31,50,30,2,0,1,2,0,0,0,31,31,,,,,,,
1,7,32,37,30,0,7,2,0,7,0,0,32,32,,,,,,,
1,2,19,19,10,2,0,2,0,2,0,0,19,19,,,,,,,
1,4,29,29,20,4,0,7,1,3,0,0,29,29,,,,,,,
1,3,18,18,10,3,0,,,,,,18,18,,,,,,,
1,4,26,26,20,0,4,1,4,0,0,0,26,26,,,,,,,
1,3,21,21,20,2,1,1,3,0,0,0,21,21,,,,,,,
1,2,40,53,40,,1,,,1,,,40,40,,,,,,,
1,5,22,23,20,4,1,2,0,5,0,0,22,22,,,,,,,
1,2,22,24,20,1,1,7,1,1,0,0,22,22,,,,,,,
1,4,28,28,20,4,0,1,4,0,0,0,28,28,,,,,,,
1,3,26,27,20,0,3,7,2,0,0,0,26,26,,,,,,,
2,7,21,21,20,2,5,7,1,6,0,0,21,21,,,,,,,
1,2,47,47,40,0,2,7,1,0,0,1,47,47,,,,,,,
1,3,23,23,20,2,1,1,3,0,0,0,23,23,,,,,,,
2,2,40,45,40,2,0,1,2,0,0,0,40,40,,,,,,,
1,2,15,21,10,2,0,2,0,2,0,0,15,15,,,,,,,
1,4,23,23,20,0,4,2,0,4,0,0,23,23,,,,,,,
1,5,,,,5,0,7,4,0,0,0,,,,,,,,,
1,5,30,32,30,5,0,,,,,,30,30,,,,,,,
1,2,39,62,30,,1,,,1,,,39,39,,,,,,,
1,2,45,56,40,1,1,1,2,0,0,0,45,45,,,,,,,
1,6,40,40,40,5,1,2,0,6,0,0,40,40,,,,,,,
1,3,18,18,10,0,3,1,3,0,0,0,18,18,,,,,,,
1,3,22,23,20,0,3,2,0,3,0,0,22,22,,,,,,,
1,3,26,42,20,3,0,1,3,0,0,0,26,26,,,,,,,
1,5,14,41,10,0,5,7,2,3,0,0,14,14,,,,,,,
1,8,31,37,30,7,1,2,0,8,0,0,31,31,,,,,,,
1,8,29,58,20,1,2,1,3,0,0,0,29,29,,,,,,,
1,3,18,18,10,3,0,7,2,1,0,0,18,18,,,,,,,
1,3,16,34,10,1,2,1,3,0,0,0,16,16,,,,,,,
1,3,18,32,10,0,3,3,0,0,3,0,18,18,,,,,,,
1,6,24,25,20,5,1,2,0,6,0,0,24,24,,,,,,,
1,2,,,,0,2,1,2,0,0,0, , ,,,,,,,
1,3,26,33,20,0,3,2,0,3,0,0,26,26,,,,,,,
1,2,36,36,30,0,2,2,0,2,0,0,36,36,,,,,,,
1,3,23,43,20,3,0,2,0,3,0,0,23,23,,,,,,,
1,2,20,22,20,1,,,,,,,20,20,,,,,,,
1,8,27,39,20,0,8,7,6,0,2,0,27,27,,,,,,,
1,2,24,24,20,2,0,1,2,0,0,0,24,24,,,,,,,
1,7,43,43,40,6,0,7,1,0,5,0,43,43,,,,,,,
1,5,36,36,30,4,1,1,5,0,0,0,36,36,,,,,,,
1,2,16,28,10,0,2,1,2,0,0,0,16,16,,,,,,,
1,3,27,27,20,0,3,1,3,0,0,0,27,27,,,,,,,
1,3,41,41,40,0,3,2,0,3,0,0,41,41,,,,,,,
1,5,28,30,20,0,5,1,5,0,0,0,28,28,,,,,,,
1,3,23,43,20,2,1,1,3,0,0,0,23,23,,,,,,,
1,3,18,19,10,0,3,1,3,0,0,0,18,18,,,,,,,
1,2,18,27,10,1,1,1,2,0,0,0,18,18,,,,,,,
1,5,24,28,20,3,2,1,5,0,0,0,24,24,,,,,,,
1,3,25,25,20,3,0,1,3,0,0,0,25,25,,,,,,,
1,3,23,34,20,2,1,1,3,0,0,0,23,23,,,,,,,
1,2,30,30,30,1,1,7,1,0,1,0,30,30,,,,,,,
1,3,22,23,20,3,0,2,0,3,0,0,22,22,,,,,,,
1,3,23,23,20,3,0,7,2,1,0,0,23,23,,,,,,,
1,2,37,37,30,2,0,1,2,0,0,0,37,37,,,,,,,
1,6,64,67,60,0,3,1,6,0,0,0,64,64,,,,,,,
1,3,21,22,20,3,0,2,0,3,0,0,21,21,,,,,,,
2,3,22,27,20,3,0,1,3,0,0,0,22,22,,,,,,,
1,2,16,27,10,0,2,7,1,1,0,0,16,16,,,,,,,
2,4,,,,4,0,1,4,0,0,0, , ,,,,,,,
1,4,26,29,20,2,2,2,0,4,0,0,26,26,,,,,,,
1,3,41,42,40,0,3,1,3,0,0,0,41,41,,,,,,,
1,4,28,28,20,,,3,0,0,4,0,28,28,,,,,,,
2,3,28,37,20,3,0,1,3,0,0,0,28,28,,,,,,,
2,3,24,29,20,3,0,1,3,0,0,0,24,24,,,,,,,
1,6,18,18,10,6,0,7,0,0,3,3,18,18,,,,,,,
1,8,45,55,40,6,2,1,8,0,0,0,45,45,,,,,,,
1,6,21,21,20,5,1,7,4,,1,0,21,21,,,,,,,
1,3,26,27,20,3,0,2,0,3,0,0,26,26,,,,,,,
1,7,45,46,40,1,6,1,7,0,0,0,45,45,,,,,,,
1,5,30,32,30,0,5,1,5,0,0,0,30,30,,,,,,,
2,2,37,37,30,1,1,,1,,,,37,37,,,,,,,
1,31,27,31,20,0,31,1,31,0,0,0,27,27,,,,,,,
1,2,17,17,10,2,0,7,1,0,1,0,17,17,,,,,,,
1,12,25,32,20,10,2,1,12,0,0,0,25,25,,,,,,,
1,10,43,43,40,0,10,7,8,1,1,0,43,43,,,,,,,
1,8,46,46,40,3,5,1,7,0,0,0,46,46,,,,,,,
1,2,15,18,10,2,0,1,1,0,0,0,15,15,,,,,,,
2,3,,,,2,1,1,3,0,0,0, , ,,,,,,,
1,3,30,30,30,1,2,1,3,0,0,0,30,30,,,,,,,
1,2,19,19,10,1,1,1,2,0,0,0,19,19,,,,,,,
1,4,27,28,20,2,2,1,4,0,0,0,,,,,,,,,
1,4,21,39,20,3,1,1,4,0,0,0,21,21,,,,,,,
1,5,35,36,30,0,5,,,,,,35,35,,,,,,,
1,2,19,67,10,1,1,1,2,0,0,0,19,19,,,,,,,
1,4,20,36,20,4,0,1,4,0,0,0,20,20,,,,,,,
1,3,18,19,10,0,3,1,3,0,0,0,18,18,,,,,,,
1,4,29,37,20,1,3,7,3,0,0,1,29,29,,,,,,,
1,4,25,57,20,2,2,1,4,0,0,0,25,25,,,,,,,
1,2,19,32,10,2,0,1,2,0,0,0,19,19,,,,,,,
1,16,35,36,30,,,1,16,0,0,0,35,35,,,,,,,
1,5,28,52,20,0,5,7,1,4,0,0,28,28,,,,,,,
1,4,19,35,10,0,4,1,4,0,0,0,19,19,,,,,,,
1,3,28,51,20,0,3,1,3,0,0,0,28,28,,,,,,,
1,5,33,37,30,1,4,7,3,2,0,0,33,33,,,,,,,
1,2,26,33,20,2,0,7,1,0,1,0,26,26,,,,,,,
1,2,22,43,20,2,0,2,0,2,0,0,22,22,,,,,,,
1,3,29,29,20,0,3,7,1,,1,,29,29,,,,,,,
1,3,22,41,20,0,3,2,0,3,0,0,22,22,,,,,,,
1,4,34,35,30,0,4,1,4,0,0,0,34,34,,,,,,,
1,2,19,55,10,2,0,1,2,0,0,0,19,19,,,,,,,
1,3,21,27,20,0,3,7,,1,0,1,21,21,,,,,,,
1,3,,50,,2,1,,,,,,,,,,,,,,
1,2,25,43,20,1,1,2,0,2,0,0,25,25,,,,,,,
1,2,16,17,10,2,0,7,1,1,0,0,16,16,,,,,,,
1,2,21,22,20,2,0,7,1,1,0,0,21,21,,,,,,,
1,2,42,44,40,0,2,1,2,0,0,0,42,42,,,,,,,
1,6,36,36,30,3,3,7,1,5,0,0,36,36,,,,,,,
1,5,41,41,40,2,3,1,5,0,0,0,41,41,,,,,,,
1,3,25,44,20,2,1,1,3,0,0,0,25,25,,,,,,,
1,4,59,62,50,2,2,1,4,0,0,0,59,59,,,,,,,
1,5,29,29,20,5,0,1,5,0,0,0,29,29,,,,,,,
1,10,22,22,20,5,5,1,9,0,0,0,22,22,,,,,,,
1,2,21,35,20,2,0,1,2,0,0,0,21,21,,,,,,,
1,3,23,23,20,2,1,2,0,3,0,0,23,23,,,,,,,
1,6,22,25,20,0,6,1,6,0,0,0,22,22,,,,,,,
1,2,29,29,20,0,2,1,2,0,0,0,29,29,,,,,,,
1,3,28,28,20,0,3,1,3,0,0,0,28,28,,,,,,,
1,14,,,,1,,,,,,, , ,,,,,,,
1,2,28,28,20,2,0,2,0,2,0,0,28,28,,,,,,,
1,4,22,34,20,3,1,7,1,0,3,0,22,22,,,,,,,
1,5,26,34,20,3,2,1,5,0,0,0,26,26,,,,,,,
1,4,48,48,40,1,3,1,4,0,0,0,48,48,,,,,,,
1,2,52,,50,,,1,2,0,0,0,52,52,,,,,,,
1,2,13,27,10,1,1,1,2,0,0,0,13,13,,,,,,,
1,2,28,28,20,2,0,7,1,0,1,0,28,28,,,,,,,
1,5,22,22,20,5,0,7,0,0,2,3,22,22,,,,,,,
1,6,52,58,50,5,1,,,,,,52,52,,,,,,,
1,3,21,40,20,2,1,2,0,3,0,0,21,21,,,,,,,
1,2,36,50,30,2,0,2,0,1,0,0,36,36,,,,,,,
1,2,18,18,10,1,1,1,2,0,0,0,18,18,,,,,,,
1,3,18,19,10,3,0,7,0,1,0,2,18,18,,,,,,,
1,4,35,60,30,2,2,1,4,0,0,0,35,35,,,,,,,
1,3,25,62,20,,,,,,,,25,25,,,,,,,
1,3,19,19,10,3,0,,,,,,19,19,,,,,,,
2,2,15,15,10,2,0,7,1,1,0,0,15,15,,,,,,,
1,3,28,29,20,0,3,1,3,0,0,0,28,28,,,,,,,
1,6,21,22,20,6,0,1,6,0,0,0,21,21,,,,,,,
1,14,20,20,20,15,0,3,0,0,15,0,20,20,,,,,,,
1,9,22,24,20,9,0,1,9,0,0,0,22,22,,,,,,,
1,5,25,25,20,2,3,7,4,1,0,0,25,25,,,,,,,
1,3,32,32,30,2,1,3,0,0,3,0,32,32,,,,,,,
1,6,28,41,20,1,5,7,4,1,0,0,28,33,,,,,,,
1,3,46,46,40,3,0,7,0,1,2,0,46,46,,,,,,,
1,3,25,26,20,3,0,7,,1,1,,25,25,,,,,,,
1,3,27,51,20,1,2,7,2,0,1,0,27,27,,,,,,,
1,2,23,23,20,1,1,7,1,1,0,0,23,23,,,,,,,
1,3,17,53,10,1,2,2,0,3,0,0,17,17,,,,,,,
1,2,27,27,20,2,0,1,2,0,0,0,27,27,,,,,,,
2,15,34,34,30,,,1,15,0,0,0,34,34,,,,,,,
1,2,41,43,40,,,,,,,,41,41,,,,,,,
1,2,38,38,30,0,2,3,0,0,2,0,38,38,,,,,,,
2,2,27,31,20,1,1,1,2,0,0,0,27,27,,,,,,,
1,4,33,33,30,2,2,7,1,3,0,0,33,33,,,,,,,
1,3,24,25,20,2,1,7,1,,1,0,24,24,,,,,,,
1,2,19,19,10,2,0,3,0,0,2,0,19,19,,,,,,,
1,4,28,28,20,0,4,1,4,0,0,0,,,,,,,,,
1,8,19,35,10,2,6,1,8,0,0,0,19,19,,,,,,,
2,2,,,,2,0,1,2,0,0,0, , ,,,,,,,
1,2,17,19,10,0,2,1,2,0,0,0,17,17,,,,,,,
1,2,23,48,20,2,0,1,2,0,0,0,23,23,,,,,,,
2,3,23,23,20,2,1,1,3,0,0,0,23,23,,,,,,,
1,3,36,36,30,3,0,1,3,0,0,0,36,36,,,,,,,
1,2,32,33,30,0,2,1,2,0,0,0,32,32,,,,,,,
1,2,18,19,10,0,2,,,,,,18,18,,,,,,,
1,2,19,19,10,2,0,,1,,,,19,19,,,,,,,
1,2,27,29,20,1,1,7,1,1,0,0,27,27,,,,,,,
1,3,42,42,40,2,1,1,3,0,0,0,42,42,,,,,,,
1,2,19,23,10,2,0,1,2,0,0,0,19,19,,,,,,,
1,3,24,24,20,0,3,1,3,0,0,0,24,24,,,,,,,
1,3,28,29,20,0,3,3,0,0,3,0,28,28,,,,,,,
1,2,19,21,10,2,0,3,0,0,2,0,19,19,,,,,,,
1,12,30,32,30,0,12,3,0,0,12,0,30,30,,,,,,,
1,4,35,35,30,3,1,1,4,0,0,0,35,35,,,,,,,
1,3,18,21,10,2,1,3,0,0,3,0,18,18,,,,,,,
1,3,32,33,30,0,3,1,3,0,0,0,32,32,,,,,,,
1,2,20,24,20,2,0,,1,,,,20,20,,,,,,,
2,6,60,64,60,5,1,3,1,4,0,0,60,60,,,,,,,
1,5,27,27,20,0,4,7,1,1,2,,27,27,,,,,,,
1,8,40,43,40,0,8,1,8,0,0,0,40,40,,,,,,,
1,9,,,,9,1,7,5,1,0,1, , ,,,,,,,
1,3,19,19,10,2,1,7,1,1,0,1,19,19,,,,,,,
1,4,29,30,20,3,0,2,0,3,0,0,29,29,,,,,,,
1,6,22,34,20,0,6,7,5,0,1,0,22,22,,,,,,,
1,3,43,47,40,3,0,1,3,0,0,0,43,43,,,,,,,
1,2,23,37,20,,1,,,,1,,23,23,,,,,,,
1,3,,52,,1,,,,,,, , ,,,,,,,
1,4,27,27,20,0,0,2,0,4,0,0,27,27,,,,,,,
1,8,18,19,10,8,0,3,0,0,6,0,18,18,,,,,,,
2,5,31,32,30,2,3,1,5,0,0,0,31,31,,,,,,,
1,5,45,47,40,0,5,1,5,0,0,0,45,45,,,,,,,
2,4,33,40,30,,,1,,0,0,0,33,33,,,,,,,
2,3,42,42,40,3,0,1,3,0,0,0,42,42,,,,,,,
1,3,47,52,40,1,2,1,3,0,0,0,47,47,,,,,,,
1,5,29,44,20,5,0,7,4,0,1,0,29,29,,,,,,,
1,3,62,69,60,0,3,1,3,0,0,0,62,62,,,,,,,
1,6,26,30,20,1,5,7,5,0,1,0,26,26,,,,,,,
1,10,49,51,40,1,9,1,10,0,0,0,49,49,,,,,,,
1,2,30,53,30,0,2,1,2,0,0,0,30,30,,,,,,,
1,2,29,30,20,0,2,1,2,0,0,0,29,29,,,,,,,
1,5,20,20,20,3,2,1,5,0,0,0,20,20,,,,,,,
1,5,23,23,20,3,2,1,5,0,0,0,23,23,,,,,,,
1,4,28,32,20,2,2,7,3,1,0,0,28,28,,,,,,,
1,14,23,23,20,0,14,1,14,0,0,0,23,23,,,,,,,
1,2,31,39,30,2,0,1,2,0,0,0,31,31,,,,,,,
2,2,30,32,30,2,0,1,2,0,0,0,30,30,,,,,,,
1,2,50,,50,1,1,1,2,0,0,0,50,50,,,,,,,
1,2,32,32,30,2,0,1,2,0,0,0,32,32,,,,,,,
2,2,30,30,30,1,1,7,1,0,1,0,30,30,,,,,,,
1,3,19,19,10,2,1,1,3,0,0,0,19,19,,,,,,,
1,2,16,31,10,0,2,1,2,0,0,0,16,16,,,,,,,
1,2,29,32,20,0,2,1,2,0,0,0,29,29,,,,,,,
1,3,23,25,20,3,0,7,0,2,0,1,23,23,,,,,,,
1,2,29,48,20,2,0,,1,,,,29,29,,,,,,,
1,2,16,31,10,1,1,,,1,,,16,16,,,,,,,
1,3,30,32,30,2,1,7,2,1,0,0,30,30,,,,,,,
1,9,18,26,10,4,2,2,0,9,0,0,18,18,,,,,,,
2,3,39,41,30,2,1,1,3,0,0,0,39,39,,,,,,,
1,3,15,15,10,3,0,2,0,3,0,0,15,15,,,,,,,
1,4,24,37,20,1,3,7,1,3,0,0,24,24,,,,,,,
1,2,26,26,20,2,0,2,0,2,0,0,26,26,,,,,,,
1,5,28,28,20,0,5,7,4,0,0,1,28,28,,,,,,,
1,2,45,45,40,2,0,1,2,0,0,0,45,45,,,,,,,
1,2,17,17,10,1,1,7,0,1,1,0,17,17,,,,,,,
1,9,28,35,20,,,,,,,,28,28,,,,,,,
