Sex,NumVics,Age1stKill,AgeLastKill,Age Group,# Male,# Female,Race of Victim,# White,# Black,# Hisp,#Asian,AgeKill,AgeSeries,,,,,,,
1,3,15,24,10,2,1,7,2,1,0,0,15,15,,,,,,,
1,3,18,19,10,0,3,1,3,0,0,0,18,18,,,,,,,
1,3,19,20,10,1,2,7,1,2,0,0,19,19,,,,,,,
1,4,21,24,20,0,4,2,0,4,0,0,21,21,,,,,,,
1,2,23,55,20,2,0,7,1,0,1,0,23,23,,,,,,,
1,5,21,21,20,5,0,3,0,0,5,0,21,21,,,,,,,
1,2,19,19,10,2,0,7,0,1,1,0,19,19,,,,,,,
1,3,26,26,20,0,2,1,2,0,0,0,26,26,,,,,,,
1,70,26,30,20,,,3,,,,,26,26,,,,,,,
1,3,55,56,50,3,0,3,0,0,3,0,55,55,,,,,,,
1,3,19,20,10,3,0,7,2,0,1,0,19,19,,,,,,,
1,14,43,44,40,14,0,1,14,0,0,0,43,43,,,,,,,
1,3,21,30,20,1,2,2,0,3,0,0,21,21,,,,,,,
1,4,36,51,30,0,4,1,4,0,0,0,36,36,,,,,,,
2,2,53,54,50,2,0,4,0,0,0,2,53,53,,,,,,,
1,22,32,32,30,,,1,22,0,0,0,32,32,,,,,,,
1,8,32,33,30,6,2,1,8,0,0,0,32,32,,,,,,,
1,2,39,45,40,2,0,1,2,0,0,0, , ,,,,,,,
1,2,27,38,20,0,2,7,1,0,0,0,27,27,,,,,,,
1,6,36,37,30,1,4,1,6,0,0,0,36,36,,,,,,,
1,3,24,25,20,1,2,2,0,3,0,0,24,24,,,,,,,
1,3,25,53,20,0,3,1,3,0,0,0,25,25,,,,,,,
1,2,27,28,20,0,2,1,2,0,0,0,27,27,,,,,,,
1,3,32,33,30,0,3,7,1,2,0,0,32,32,,,,,,,
1,4,24,24,20,3,1,1,4,0,0,0,24,24,,,,,,,
1,3,29,29,20,2,1,7,2,1,0,0,29,29,,,,,,,
1,5,19,19,10,4,1,7,2,2,1,0,19,19,,,,,,,
1,3,33,70,30,1,1,,1,,,,33,33,,,,,,,
1,3,18,18,10,3,0,7,2,1,0,0,18,18,,,,,,,
